"state_long","state_short","elec_year","gelec_dem","gelec_rep","gelec_oth","temp_mean","temp_max_max","temp_max_mean","gelec_total","rep_share","dem_share","ln_temp_mean","ln_temp_max_max","ln_temp_max_mean"
"Missouri",,2008,,,,61.90972225,76,74.1666666666667,,,,4.12567723116992,4.33073334028633,4.30631481293819
"Nevada",,2008,,,,40.745471,50,47.5,,,,3.70734469240595,3.91202300542815,3.8607297110406
"New York",,2008,,,,52.8605768846154,75,65.1153846153846,,,,3.96765782255994,4.31748811353631,4.17616084411165
"North Dakota",,2008,,,,46.30223425,60,56,,,,3.83519021586743,4.0943445622221,4.02535169073515
"Ohio",,2008,,,,56.145833,74,72.5,,,,4.02795246649829,4.30406509320417,4.28358656186063
"Pennsylvania",,2008,,,,58.416667,65,65,,,,4.06760124295272,4.17438726989564,4.17438726989564
"Rhode Island",,2008,,,,51.7083335,65,63.25,,,,3.94561895807987,4.17438726989564,4.14709512760763
"Utah",,2008,,,,44.6712962222222,59,54.1111111111111,,,,3.79933115267802,4.07753744390572,3.99103954574637
"Vermont",,2008,,,,50.5533332,64.6,60.84,,,,3.9230288819672,4.16821441078856,4.10824746739109
"Washington",,2008,,,,43.3285256923077,54.2,47.7153846153846,,,,3.76881121007043,3.9926809084456,3.86525387451753
"Wisconsin",,2008,,,,61.4398148333333,77,72,,,,4.11805807505449,4.34380542185368,4.27666611901606
"Country Of Mexico",,2010,,,,56.1441511428571,92,66.5714285714286,,,,4.02792251089439,4.52178857704904,4.19827548507033
"District Of Columbia",,2010,,,,43.145833,50.6,50.6,,,,3.76458584276196,3.92395157629342,3.92395157629342
"Maine",,2010,,,,37.236111,45,42,,,,3.61727901623594,3.80666248977032,3.73766961828337
"Massachusetts",,2010,,,,40.0224357692308,50,47.0769230769231,,,,3.68944019110233,3.91202300542815,3.85178292505079
"Michigan",,2010,,,,37.9750000571429,52,48.1142857142857,,,,3.63692804998659,3.95124371858143,3.87357913331286
"Minnesota",,2010,,,,42.0416665,54,53.5,,,,3.73866118604134,3.98898404656427,3.97968165390196
"Montana",,2010,,,,52.1296297777778,73,66.5555555555556,,,,3.95373349685143,4.29045944114839,4.19803702077923
"New Jersey",,2010,,,,37.875,49,49,,,,3.63429126382953,3.89182029811063,3.89182029811063
"New Mexico",,2010,,,,51.9890350526316,71,65.4736842105263,,,,3.95103283197394,4.26267987704132,4.18164829413268
"Rhode Island",,2010,,,,39.608696,51,49.25,,,,3.67904869011237,3.93182563272433,3.8969093676181
"Tennessee",,2010,,,,53.38068175,68,61.5,,,,3.97744891553214,4.21950770517611,4.11903717481247
"Texas",,2010,,,,60.8940625405405,81,67.5045045045045,,,,4.10913567473366,4.39444915467244,4.21219432905198
"Virginia",,2010,,,,35.5,50,44,,,,3.56953269648137,3.91202300542815,3.78418963391826
"Wyoming",,2010,,,,46.8826086714286,76,61.8,,,,3.84764678944219,4.33073334028633,4.12390336446365
"Alabama",,2012,,,,9.658333,12.3,12.3,,,,2.26782106604519,2.50959926237837,2.50959926237837
"Alaska",,2012,,,,-9.958333,-6,-6,,,,,,
"Arkansas",,2012,,,,52.916667,63,63,,,,3.9687183554039,4.14313472639153,4.14313472639153
"Colorado",,2012,,,,48.228579,71,64.2413793103448,,,,3.875951770657,4.26267987704132,4.16264754061511
"Country Of Mexico",,2012,,,,50.525,85,63.4,,,,3.92246826328968,4.44265125649032,4.14946386144318
"District Of Columbia",,2012,,,,39.7125,45.7,45.7,,,,3.68166599959563,3.82209829790016,3.82209829790016
"Georgia",,2012,,,,47.838541875,56,51.125,,,,3.86783162997637,4.02535169073515,3.93427361436297
"Idaho",,2012,,,,49.9186274705882,77,63.4470588235294,,,,3.91039422910363,4.34380542185368,4.15020583884691
"Illinois",,2012,,,,39.1444445,47,44.5333333333333,,,,3.66725850943022,3.85014760171006,3.79623797243444
"Iowa",,2012,,,,41.1473430833333,54,45.3333333333333,,,,3.7171593584124,3.98898404656427,3.81404259706794
"Kentucky",,2012,,,,43.6160712857143,56,52.2857142857143,,,,3.77542568990646,4.02535169073515,3.95672318434605
"Louisiana",,2012,,,,56.1183336,65.3,64.1,,,,4.0274625612795,4.17899203628239,4.16044436392662
"New Hampshire",,2012,,,,30.0668276666667,47,41.5555555555556,,,,3.40342249315332,3.85014760171006,3.72703122007831
"North Carolina",,2012,,,,39.2638889333333,48,43.3333333333333,,,,3.67030523980948,3.87120101090789,3.76892216178747
"Oklahoma",,2012,,,,51.0601851111111,76,66.7222222222222,,,,3.93300503717126,4.33073334028633,4.20053806418382
"Oregon",,2012,,,,51.75,72,61.5,,,,3.94642443214548,4.27666611901606,4.11903717481247
"South Carolina",,2012,,,,46.583333,52,52,,,,3.84124281621146,3.95124371858143,3.95124371858143
"South Dakota",,2012,,,,45.92708325,61,54.75,,,,3.82705499207563,4.11087386417331,4.00277736869661
"Arizona",,2014,,,,65.679687625,89,81.25,,,,4.18478970911886,4.48863636973214,4.39753082120985
"California",,2014,,,,64.137444975,92.2,79.1816666666667,,,,4.16102835834528,4.52396013056255,4.37174479054292
"Connecticut",,2014,,,,41.0565475,51,47.7857142857143,,,,3.71495032378858,3.93182563272433,3.86672673051297
"District Of Columbia",,2014,,,,44.3458335,51.1,51.05,,,,3.79201875845739,3.93378449720966,3.93280554461067
"Florida",,2014,,,,66.3333335,83,79,,,,4.19469253856895,4.4188406077966,4.36944785246702
"Indiana",,2014,,,,42.781746047619,57,48.2380952380952,,,,3.75611151739872,4.04305126783455,3.87614906652526
